method,z,weights_id,alpha_union,alpha_intersection,alpha_cardinality,selected_labels,selected_size,objective_score,pair_union,pair_intersection,cardinality_penalty,union_coverage,reduced_value,full_value,value_gap
greedy,1,0,1.0,0.0,0.0,∇1,1,2.0,2.0,2.0,0.0,2,1.0,0.5,0.5
random,1,0,1.0,0.0,0.0,∇1,1,2.0,2.0,2.0,0.0,2,1.0,0.5,0.5
greedy,2,0,1.0,0.0,0.0,"∇1,∇3",2,3.0,3.0,1.0,0.0,3,0.5,0.5,0.0
random,2,0,1.0,0.0,0.0,"∇2,∇3",2,3.0,3.0,0.0,0.0,3,0.5,0.5,0.0
greedy,3,0,1.0,0.0,0.0,"∇1,∇3,∇2",3,8.0,8.0,2.0,0.0,3,0.5,0.5,0.0
random,3,0,1.0,0.0,0.0,"∇1,∇3,∇4",3,8.0,8.0,4.0,0.0,3,0.5,0.5,0.0
greedy,4,0,1.0,0.0,0.0,"∇1,∇3,∇2,∇4",4,15.0,15.0,6.0,0.0,3,0.5,0.5,0.0
random,4,0,1.0,0.0,0.0,"∇1,∇2,∇3,∇4",4,15.0,15.0,6.0,0.0,3,0.5,0.5,0.0
greedy,1,1,1.0,0.5,0.2,∇1,1,2.8,2.0,2.0,0.2,2,1.0,0.5,0.5
random,1,1,1.0,0.5,0.2,∇1,1,2.8,2.0,2.0,0.2,2,1.0,0.5,0.5
greedy,2,1,1.0,0.5,0.2,"∇1,∇3",2,3.1,3.0,1.0,0.4,3,0.5,0.5,0.0
random,2,1,1.0,0.5,0.2,"∇1,∇3",2,3.1,3.0,1.0,0.4,3,0.5,0.5,0.0
greedy,3,1,1.0,0.5,0.2,"∇1,∇3,∇4",3,9.4,8.0,4.0,0.6000000000000001,3,0.5,0.5,0.0
random,3,1,1.0,0.5,0.2,"∇1,∇3,∇4",3,9.4,8.0,4.0,0.6000000000000001,3,0.5,0.5,0.0
greedy,4,1,1.0,0.5,0.2,"∇1,∇3,∇4,∇2",4,17.2,15.0,6.0,0.8,3,0.5,0.5,0.0
random,4,1,1.0,0.5,0.2,"∇1,∇2,∇3,∇4",4,17.2,15.0,6.0,0.8,3,0.5,0.5,0.0
greedy,1,2,1.0,-0.25,0.4,∇1,1,1.1,2.0,2.0,0.4,2,1.0,0.5,0.5
random,1,2,1.0,-0.25,0.4,∇1,1,1.1,2.0,2.0,0.4,2,1.0,0.5,0.5
greedy,2,2,1.0,-0.25,0.4,"∇1,∇3",2,1.95,3.0,1.0,0.8,3,0.5,0.5,0.0
random,2,2,1.0,-0.25,0.4,"∇2,∇3",2,2.2,3.0,0.0,0.8,3,0.5,0.5,0.0
greedy,3,2,1.0,-0.25,0.4,"∇1,∇3,∇2",3,6.3,8.0,2.0,1.2000000000000002,3,0.5,0.5,0.0
random,3,2,1.0,-0.25,0.4,"∇2,∇3,∇4",3,6.3,8.0,2.0,1.2000000000000002,3,0.5,0.5,0.0
greedy,4,2,1.0,-0.25,0.4,"∇1,∇3,∇2,∇4",4,11.9,15.0,6.0,1.6,3,0.5,0.5,0.0
random,4,2,1.0,-0.25,0.4,"∇1,∇2,∇3,∇4",4,11.9,15.0,6.0,1.6,3,0.5,0.5,0.0
